Indexes,,,Vessel Details,,,,,,,,,,,,,,,Deductible Details,,,,,,,,,,,,Burning Costs,,,,,,,,,,,,,,,Loading Costs,,,,,Final Premiums,,,,
#,quote_id,Status,ppoidx,Vessel Name,NS,Segment,Mutuality,IMO,Ship Type,GXL Category,Grs Tonnage,Built Year,Vessel Flag,Domicile,Memb. Exper.,DRAT,NPRI Limit ($m),Ded. Fee Treatment,Cgo Evt/Voy,Ded Cgo,Crew Evt/Voy,Ded Crew,Ded Stev.,Ded Pass.,Ded FFO,RDC 1/4ths,Ded Coll.,Ded Poll.,Ded Other,Cargo,Crew Accident,Crew Illness,Stevedore & 3rd Party,Passenger,Fixed & Floating Objects,Collision,Pollution,"Deviations, Stowaways & Fines",Accidents and Breakdowns,Retained,Abatement,Before Modifiers,After AADL,After Sliders,Pool,RI GXL,RI NON-GXL,Mgt. Expenses,Total Loads,Total Premium,Check0,Rate per Ton,ALR Retained,ALR Retained Less Expenses
12,66263ea99858f39581f40389,calced,1178398,MELANIE,n,PNI,POOLED,9042697,TANKER PRODUCT,CLEAN TANKER,735,1992,SAINT KITTS AND NEVIS,UNITED ARAB EMIRATES,-0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"22,675",II_event,"9,100","9,100","9,100","18,400",CO_1_4THS,"18,400","18,400","18,400",330,192,182,1,122,126,47,73,71,12,"1,156",11,"1,167",310,389,"1,343",293,0,"2,869","4,505","4,894",0,6.66,"3,254",385
13,66263ea99858f39581f40390,calced,1178520,MARINER A,n,PNI,POOLED,9288954,TANKER CHEMICAL,CLEAN TANKER,25364,2005,MALTA,GREECE,0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"24,820",II_event,"12,720","12,720","12,720","39,380",CO_4_4THS,"39,380","21,190","21,190","1,404","1,135",932,27,871,320,224,302,126,147,"5,488",37,"5,525","1,469","1,842","1,493","10,100",0,"3,189","14,782","16,624",0,0.655,"5,019","1,830"
14,66263ea99858f39581f40391,calced,1178522,BREEZE A,n,PNI,POOLED,9086708,TANKER CHEMICAL,CLEAN TANKER,21142,1994,MALTA,GREECE,0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"24,820",II_event,"12,720","12,720","12,720","39,380",CO_4_4THS,"39,380","21,190","21,190","1,676","1,174",961,27,901,355,249,331,151,159,"5,984",45,"6,029","1,603","2,010","1,510","8,419",0,"3,227","13,156","15,166",0,0.717,"5,222","1,995"
15,66263ea99858f39581f40392,calced,1178524,JENNY I,n,PNI,POOLED,9253595,TANKER CHEMICAL,CLEAN TANKER,25118,2003,MALTA,GREECE,0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"24,820",II_event,"12,720","12,720","12,720","39,380",CO_4_4THS,"39,380","21,190","21,190","1,404","1,135",932,27,871,320,224,302,126,147,"5,488",37,"5,525","1,469","1,842","1,493","10,002",0,"3,189","14,684","16,526",0,0.658,"5,019","1,830"
16,66263ea99858f39581f40393,calced,1178555,DESTINE,n,PNI,POOLED,9662655,TANKER PRODUCT,CLEAN TANKER,4194,2013,AUSTRALIA,AUSTRALIA,0.2,2.5,1000,Fees IN (10% 500 5k),CA_event,"13,000",II_event,"13,000","13,000","13,000","50,000",CO_4_4THS,"50,000","13,000","13,000",217,161,150,0,281,105,68,70,53,24,"1,129",6,"1,135",302,378,"1,342","1,670",0,"2,866","5,878","6,256",0,1.49,"3,242",376
17,66263ea99858f39581f40394,calced,1178587,ORANGE SUN,n,PNI,POOLED,9342580,TANKER CHEMICAL,CLEAN TANKER,33070,2007,LIBERIA,SWITZERLAND,0.1,2.5,1000,Fees EXcluded,CA_voyage,"35,000",II_event,"10,000","10,000","10,000","50,000",CO_4_4THS,"50,000","3,500","3,500","1,289","1,193","1,144",26,"1,231",311,204,314,128,135,"5,975",31,"6,006","1,597","2,002","1,509","13,168",0,"3,225","17,902","19,904",0,0.602,"5,217","1,992"
18,66263ea99858f39581f40395,calced,1178588,BEBEDOURO,n,PNI,POOLED,8503773,TANKER CHEMICAL,CLEAN TANKER,11150,1986,LIBERIA,SWITZERLAND,0.1,2.5,1000,Fees EXcluded,CA_voyage,"35,000",II_event,"10,000","10,000","10,000","50,000",CO_4_4THS,"50,000","3,500","3,500","2,140","1,235","1,190",27,"1,282",415,270,418,219,184,"7,380",46,"7,426","1,974","2,476","1,558","4,440",0,"3,329","9,327","11,804",0,1.06,"5,790","2,461"
19,66263ea99858f39581f40396,calced,1178589,ORANGE STAR,n,PNI,POOLED,9564384,TANKER CHEMICAL,CLEAN TANKER,34432,2011,LIBERIA,SWITZERLAND,0.1,2.5,1000,Fees EXcluded,CA_voyage,"35,000",II_event,"10,000","10,000","10,000","50,000",CO_4_4THS,"50,000","3,500","3,500","1,225","1,235","1,187",27,"1,277",313,205,317,124,137,"6,047",31,"6,078","1,616","2,026","1,512","13,711",0,"3,230","18,453","20,479",0,0.595,"5,246","2,016"
20,66263ea99858f39581f40397,calced,1178646,ERMIONI,n,PNI,POOLED,9301653,TANKER CHEMICAL,CLEAN TANKER,2195,2005,GREECE,GREECE,-0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"25,500",II_event,"13,250","13,250","13,250","20,100",CO_1_4THS,"20,100","5,250","16,000",708,369,302,8,408,170,66,175,65,100,"2,371",25,"2,396",637,799,"1,385",874,0,"2,959","5,218","6,018",0,2.74,"3,750",791
21,66263ea99858f39581f40398,calced,1178647,ADELE,n,PNI,POOLED,9531442,TANKER CHEMICAL,CLEAN TANKER,2336,2010,MALTA,GREECE,-0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"25,500",II_event,"13,250","13,250","13,250","20,100",CO_1_4THS,"20,100","5,250","16,000",901,471,388,10,363,220,84,219,86,93,"2,835",29,"2,864",761,955,"1,401",930,0,"2,994","5,325","6,280",0,2.69,"3,939",945
22,66263ea99858f39581f40399,calced,1178648,FRES,n,PNI,POOLED,9531363,TANKER PRODUCT,CLEAN TANKER,2240,2009,GREECE,GREECE,-0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"25,500",II_event,"13,250","13,250","13,250","20,100",CO_1_4THS,"20,100","5,250","16,000",270,163,154,0,161,113,43,78,57,13,"1,052",8,"1,060",282,353,"1,339",892,0,"2,861","5,092","5,445",0,2.43,"3,212",351
23,66263ea99858f39581f40400,calced,1178649,ARCADIA,n,PNI,POOLED,9359741,TANKER CHEMICAL,CLEAN TANKER,1296,2006,GREECE,GREECE,-0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"25,500",II_event,"13,250","13,250","13,250","20,100",CO_1_4THS,"20,100","5,250","16,000",674,351,285,7,384,168,66,170,64,100,"2,269",25,"2,294",610,765,"1,382",516,0,"2,952","4,850","5,615",0,4.33,"3,709",757
24,66263ea99858f39581f40401,calced,1178651,KRITI RUBY,n,PNI,POOLED,9391282,TANKER CHEMICAL,CLEAN TANKER,29832,2008,GREECE,GREECE,-0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"25,500",II_event,"13,250","13,250","13,250","20,100",CO_1_4THS,"20,100","5,250","16,000",660,572,468,12,627,167,66,170,63,100,"2,905",25,"2,930",779,977,"1,404","11,879",0,"2,999","16,282","17,258",0,0.579,"3,968",969
25,66263ea99858f39581f40402,calced,1178652,KALIKRATIS,n,PNI,POOLED,9531571,TANKER CHEMICAL,CLEAN TANKER,2336,2011,MALTA,GREECE,-0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"25,500",II_event,"13,250","13,250","13,250","20,100",CO_1_4THS,"20,100","5,250","16,000",901,471,388,10,363,220,84,219,86,93,"2,835",29,"2,864",761,955,"1,401",930,0,"2,994","5,325","6,280",0,2.69,"3,939",945
26,66263ea99858f39581f40403,calced,1178655,NICOS IV,n,PNI,POOLED,9103843,TANKER CHEMICAL,CLEAN TANKER,31183,2002,GREECE,GREECE,-0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"25,500",II_event,"13,250","13,250","13,250","20,100",CO_1_4THS,"20,100","5,250","16,000",739,636,520,12,704,184,73,190,71,112,"3,241",28,"3,269",869,"1,090","1,415","12,417",0,"3,024","16,856","17,946",0,0.576,"4,105","1,081"
27,66263ea99858f39581f40404,calced,1178656,LOUTRO,n,PNI,POOLED,9531583,TANKER CHEMICAL,CLEAN TANKER,2336,2011,MALTA,GREECE,-0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"25,500",II_event,"13,250","13,250","13,250","20,100",CO_1_4THS,"20,100","5,250","16,000",901,471,388,10,363,220,84,219,86,93,"2,835",29,"2,864",761,955,"1,401",930,0,"2,994","5,325","6,280",0,2.69,"3,939",945
28,66263ea99858f39581f40405,calced,1178659,PROVIDENCE,n,PNI,POOLED,9531545,TANKER CHEMICAL,CLEAN TANKER,4175,2009,GREECE,GREECE,-0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"25,500",II_event,"13,250","13,250","13,250","20,100",CO_1_4THS,"20,100","5,250","16,000",694,369,302,8,405,159,60,159,65,94,"2,315",24,"2,339",622,780,"1,383","1,662",0,"2,955","6,000","6,780",0,1.62,"3,727",772
29,66263ea99858f39581f40406,calced,1178660,PLATINUM,n,PNI,POOLED,9075008,TANKER CHEMICAL,CLEAN TANKER,31330,1996,GREECE,GREECE,-0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"25,500",II_event,"13,250","13,250","13,250","20,100",CO_1_4THS,"20,100","5,250","16,000",823,715,582,12,784,208,82,208,78,122,"3,614",30,"3,644",969,"1,215","1,428","12,476",0,"3,051","16,955","18,170",0,0.58,"4,256","1,205"
30,66263ea99858f39581f40407,calced,1178662,SOUDA,n,PNI,POOLED,9531430,TANKER CHEMICAL,CLEAN TANKER,2336,2010,GREECE,GREECE,-0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"25,500",II_event,"13,250","13,250","13,250","20,100",CO_1_4THS,"20,100","5,250","16,000",632,330,270,7,363,156,59,157,60,93,"2,127",22,"2,149",571,716,"1,377",930,0,"2,941","5,248","5,964",0,2.55,"3,650",709
31,66263ea99858f39581f40408,calced,1178663,PEARL,n,PNI,POOLED,9103829,TANKER CHEMICAL,CLEAN TANKER,31183,1997,GREECE,GREECE,-0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"25,500",II_event,"13,250","13,250","13,250","20,100",CO_1_4THS,"20,100","5,250","16,000",823,715,582,12,784,208,82,208,78,122,"3,614",30,"3,644",969,"1,215","1,428","12,417",0,"3,051","16,896","18,111",0,0.581,"4,256","1,205"
32,66263ea99858f39581f40409,calced,1178677,DAWN,n,PNI,POOLED,9125281,TANKER CHEMICAL,CLEAN TANKER,6253,1995,MARSHALL ISLANDS,TURKEY,0,2.5,1000,Fees EXcluded,CA_voyage,"7,500",II_event,"7,500","7,500","7,500",0,CO_1_4THS,0,0,0,"2,429","1,293","1,252",27,913,549,191,486,245,145,"7,530",45,"7,575","2,014","2,525","1,563","2,490",0,"3,340","7,393","9,919",0,1.59,"5,851","2,511"
33,66263ea99858f39581f40410,calced,1178680,ABU DHABIIII,n,PNI,POOLED,9489027,TANKER PRODUCT,CLEAN TANKER,57748,2011,LIBERIA,UNITED ARAB EMIRATES,-0.2,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"7,500",II_event,"6,500","6,500","6,500","7,500",CO_1_4THS,"7,500","7,500","7,500",441,752,737,12,424,488,174,303,95,32,"3,458",44,"3,502",931,"1,167","1,423","22,995",0,"3,041","27,459","28,626",0,0.496,"4,194","1,153"
34,66263ea99858f39581f40411,calced,1178681,DIYYINAHI,n,PNI,POOLED,9487251,TANKER PRODUCT,CLEAN TANKER,42538,2011,LIBERIA,UNITED ARAB EMIRATES,-0.2,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"7,500",II_event,"6,500","6,500","6,500","7,500",CO_1_4THS,"7,500","7,500","7,500",465,725,706,11,408,477,168,293,101,28,"3,382",42,"3,424",910,"1,141","1,420","16,939",0,"3,035","21,394","22,535",0,0.53,"4,163","1,128"
35,66263ea99858f39581f40412,calced,1178682,LIWAV,n,PNI,POOLED,9489039,TANKER PRODUCT,CLEAN TANKER,57748,2011,LIBERIA,UNITED ARAB EMIRATES,-0.2,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"7,500",II_event,"6,500","6,500","6,500","7,500",CO_1_4THS,"7,500","7,500","7,500",441,752,737,12,424,488,174,303,95,32,"3,458",44,"3,502",931,"1,167","1,423","22,995",0,"3,041","27,459","28,626",0,0.496,"4,194","1,153"
36,66263ea99858f39581f40413,calced,1178683,MEZAIRAA,n,PNI,POOLED,9487275,TANKER PRODUCT,CLEAN TANKER,42538,2011,LIBERIA,UNITED ARAB EMIRATES,-0.2,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"7,500",II_event,"6,500","6,500","6,500","7,500",CO_1_4THS,"7,500","7,500","7,500",465,725,706,11,408,477,168,293,101,28,"3,382",42,"3,424",910,"1,141","1,420","16,939",0,"3,035","21,394","22,535",0,0.53,"4,163","1,128"
37,66263ea99858f39581f40414,calced,1178686,YAMILAHIII,n,PNI,POOLED,9487263,TANKER PRODUCT,CLEAN TANKER,42538,2011,LIBERIA,UNITED ARAB EMIRATES,-0.2,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"7,500",II_event,"6,500","6,500","6,500","7,500",CO_1_4THS,"7,500","7,500","7,500",465,725,706,11,408,477,168,293,101,28,"3,382",42,"3,424",910,"1,141","1,420","16,939",0,"3,035","21,394","22,535",0,0.53,"4,163","1,128"
