Indexes,,,Vessel Details,,,,,,,,,,,,,,,Deductible Details,,,,,,,,,,,,Burning Costs,,,,,,,,,,,,,,,Loading Costs,,,,,Final Premiums,,,,
#,QuoteID,Status,ppoidx,Vessel Name,NS,Segment,Mutuality,IMO,Ship Type,GXL Category,Grs Tonnage,Built Year,Vessel Flag,Domicile,Memb. Exper.,DRAT,NPRI Limit ($m),Ded. Fee Treatment,Cgo Evt/Voy,Ded Cgo,Crew Evt/Voy,Ded Crew,Ded Stev.,Ded Pass.,Ded FFO,RDC 1/4ths,Ded Coll.,Ded Poll.,Ded Other,Cargo,Crew Accident,Crew Illness,Stevedore & 3rd Party,Passenger,Fixed & Floating Objects,Collision,Pollution,"Deviations, Stowaways & Fines",Accidents and Breakdowns,Retained,Abatement,Before Modifiers,After AADL,After Sliders,Pool,RI GXL,RI NON-GXL,Mgt. Expenses,Total Loads,Total Premium,Check0,Rate per Ton,ALR Retained,ALR Retained Less Expenses
12,66265e1697a8f9f101012cd5,calced,1178398,MELANIE,n,PNI,POOLED,9042697,TANKER PRODUCT,CLEAN TANKER,735,1992,SAINT KITTS AND NEVIS,UNITED ARAB EMIRATES,-0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"22,675",II_event,"9,100","9,100","9,100","18,400",CO_1_4THS,18400,18400,18400,330,192,182,1,122,126,47,73,71,12,1156,11,1167,310,389,1343,293,0.00,2869,4505,4894,0.00,6.66,3254,385
13,66265e1697a8f9f101012cd5,calced,1178520,MARINER A,n,PNI,POOLED,9288954,TANKER CHEMICAL,CLEAN TANKER,25364,2005,MALTA,GREECE,0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"24,820",II_event,"12,720","12,720","12,720","39,380",CO_4_4THS,39380,21190,21190,1404,1135,932,27,871,320,224,302,126,147,5488,37,5525,1469,1842,1493,10100,0.00,3189,14782,16624,0.00,0.66,5019,1830
14,66265e1697a8f9f101012cd5,calced,1178522,BREEZE A,n,PNI,POOLED,9086708,TANKER CHEMICAL,CLEAN TANKER,21142,1994,MALTA,GREECE,0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"24,820",II_event,"12,720","12,720","12,720","39,380",CO_4_4THS,39380,21190,21190,1676,1174,961,27,901,355,249,331,151,159,5984,45,6029,1603,2010,1510,8419,0.00,3227,13156,15166,0.00,0.72,5222,1995
15,66265e1697a8f9f101012cd5,calced,1178524,JENNY I,n,PNI,POOLED,9253595,TANKER CHEMICAL,CLEAN TANKER,25118,2003,MALTA,GREECE,0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"24,820",II_event,"12,720","12,720","12,720","39,380",CO_4_4THS,39380,21190,21190,1404,1135,932,27,871,320,224,302,126,147,5488,37,5525,1469,1842,1493,10002,0.00,3189,14684,16526,0.00,0.66,5019,1830
16,66265e1697a8f9f101012cd5,calced,1178555,DESTINE,n,PNI,POOLED,9662655,TANKER PRODUCT,CLEAN TANKER,4194,2013,AUSTRALIA,AUSTRALIA,0.2,2.5,1000,Fees IN (10% 500 5k),CA_event,"13,000",II_event,"13,000","13,000","13,000","50,000",CO_4_4THS,50000,13000,13000,217,161,150,0,281,105,68,70,53,24,1129,6,1135,302,378,1342,1670,0.00,2866,5878,6256,0.00,1.49,3242,376
17,66265e1697a8f9f101012cd5,calced,1178587,ORANGE SUN,n,PNI,POOLED,9342580,TANKER CHEMICAL,CLEAN TANKER,33070,2007,LIBERIA,SWITZERLAND,0.1,2.5,1000,Fees EXcluded,CA_voyage,"35,000",II_event,"10,000","10,000","10,000","50,000",CO_4_4THS,50000,3500,3500,1289,1193,1144,26,1231,311,204,314,128,135,5975,31,6006,1597,2002,1509,13168,0.00,3225,17902,19904,0.00,0.60,5217,1992
18,66265e1697a8f9f101012cd5,calced,1178588,BEBEDOURO,n,PNI,POOLED,8503773,TANKER CHEMICAL,CLEAN TANKER,11150,1986,LIBERIA,SWITZERLAND,0.1,2.5,1000,Fees EXcluded,CA_voyage,"35,000",II_event,"10,000","10,000","10,000","50,000",CO_4_4THS,50000,3500,3500,2140,1235,1190,27,1282,415,270,418,219,184,7380,46,7426,1974,2476,1558,4440,0.00,3329,9327,11804,0.00,1.06,5790,2461
19,66265e1697a8f9f101012cd5,calced,1178589,ORANGE STAR,n,PNI,POOLED,9564384,TANKER CHEMICAL,CLEAN TANKER,34432,2011,LIBERIA,SWITZERLAND,0.1,2.5,1000,Fees EXcluded,CA_voyage,"35,000",II_event,"10,000","10,000","10,000","50,000",CO_4_4THS,50000,3500,3500,1225,1235,1187,27,1277,313,205,317,124,137,6047,31,6078,1616,2026,1512,13711,0.00,3230,18453,20479,0.00,0.60,5246,2016
20,66265e1697a8f9f101012cd5,calced,1178646,ERMIONI,n,PNI,POOLED,9301653,TANKER CHEMICAL,CLEAN TANKER,2195,2005,GREECE,GREECE,-0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"25,500",II_event,"13,250","13,250","13,250","20,100",CO_1_4THS,20100,5250,16000,708,369,302,8,408,170,66,175,65,100,2371,25,2396,637,799,1385,874,0.00,2959,5218,6018,0.00,2.74,3750,791
21,66265e1697a8f9f101012cd5,calced,1178647,ADELE,n,PNI,POOLED,9531442,TANKER CHEMICAL,CLEAN TANKER,2336,2010,MALTA,GREECE,-0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"25,500",II_event,"13,250","13,250","13,250","20,100",CO_1_4THS,20100,5250,16000,901,471,388,10,363,220,84,219,86,93,2835,29,2864,761,955,1401,930,0.00,2994,5325,6280,0.00,2.69,3939,945
22,66265e1697a8f9f101012cd5,calced,1178648,FRES,n,PNI,POOLED,9531363,TANKER PRODUCT,CLEAN TANKER,2240,2009,GREECE,GREECE,-0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"25,500",II_event,"13,250","13,250","13,250","20,100",CO_1_4THS,20100,5250,16000,270,163,154,0,161,113,43,78,57,13,1052,8,1060,282,353,1339,892,0.00,2861,5092,5445,0.00,2.43,3212,351
23,66265e1697a8f9f101012cd5,calced,1178649,ARCADIA,n,PNI,POOLED,9359741,TANKER CHEMICAL,CLEAN TANKER,1296,2006,GREECE,GREECE,-0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"25,500",II_event,"13,250","13,250","13,250","20,100",CO_1_4THS,20100,5250,16000,674,351,285,7,384,168,66,170,64,100,2269,25,2294,610,765,1382,516,0.00,2952,4850,5615,0.00,4.33,3709,757
24,66265e1697a8f9f101012cd5,calced,1178651,KRITI RUBY,n,PNI,POOLED,9391282,TANKER CHEMICAL,CLEAN TANKER,29832,2008,GREECE,GREECE,-0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"25,500",II_event,"13,250","13,250","13,250","20,100",CO_1_4THS,20100,5250,16000,660,572,468,12,627,167,66,170,63,100,2905,25,2930,779,977,1404,11879,0.00,2999,16282,17258,0.00,0.58,3968,969
25,66265e1697a8f9f101012cd5,calced,1178652,KALIKRATIS,n,PNI,POOLED,9531571,TANKER CHEMICAL,CLEAN TANKER,2336,2011,MALTA,GREECE,-0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"25,500",II_event,"13,250","13,250","13,250","20,100",CO_1_4THS,20100,5250,16000,901,471,388,10,363,220,84,219,86,93,2835,29,2864,761,955,1401,930,0.00,2994,5325,6280,0.00,2.69,3939,945
26,66265e1697a8f9f101012cd5,calced,1178655,NICOS IV,n,PNI,POOLED,9103843,TANKER CHEMICAL,CLEAN TANKER,31183,2002,GREECE,GREECE,-0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"25,500",II_event,"13,250","13,250","13,250","20,100",CO_1_4THS,20100,5250,16000,739,636,520,12,704,184,73,190,71,112,3241,28,3269,869,1090,1415,12417,0.00,3024,16856,17946,0.00,0.58,4105,1081
27,66265e1697a8f9f101012cd5,calced,1178656,LOUTRO,n,PNI,POOLED,9531583,TANKER CHEMICAL,CLEAN TANKER,2336,2011,MALTA,GREECE,-0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"25,500",II_event,"13,250","13,250","13,250","20,100",CO_1_4THS,20100,5250,16000,901,471,388,10,363,220,84,219,86,93,2835,29,2864,761,955,1401,930,0.00,2994,5325,6280,0.00,2.69,3939,945
28,66265e1697a8f9f101012cd5,calced,1178659,PROVIDENCE,n,PNI,POOLED,9531545,TANKER CHEMICAL,CLEAN TANKER,4175,2009,GREECE,GREECE,-0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"25,500",II_event,"13,250","13,250","13,250","20,100",CO_1_4THS,20100,5250,16000,694,369,302,8,405,159,60,159,65,94,2315,24,2339,622,780,1383,1662,0.00,2955,6000,6780,0.00,1.62,3727,772
29,66265e1697a8f9f101012cd5,calced,1178660,PLATINUM,n,PNI,POOLED,9075008,TANKER CHEMICAL,CLEAN TANKER,31330,1996,GREECE,GREECE,-0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"25,500",II_event,"13,250","13,250","13,250","20,100",CO_1_4THS,20100,5250,16000,823,715,582,12,784,208,82,208,78,122,3614,30,3644,969,1215,1428,12476,0.00,3051,16955,18170,0.00,0.58,4256,1205
30,66265e1697a8f9f101012cd5,calced,1178662,SOUDA,n,PNI,POOLED,9531430,TANKER CHEMICAL,CLEAN TANKER,2336,2010,GREECE,GREECE,-0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"25,500",II_event,"13,250","13,250","13,250","20,100",CO_1_4THS,20100,5250,16000,632,330,270,7,363,156,59,157,60,93,2127,22,2149,571,716,1377,930,0.00,2941,5248,5964,0.00,2.55,3650,709
31,66265e1697a8f9f101012cd5,calced,1178663,PEARL,n,PNI,POOLED,9103829,TANKER CHEMICAL,CLEAN TANKER,31183,1997,GREECE,GREECE,-0.1,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"25,500",II_event,"13,250","13,250","13,250","20,100",CO_1_4THS,20100,5250,16000,823,715,582,12,784,208,82,208,78,122,3614,30,3644,969,1215,1428,12417,0.00,3051,16896,18111,0.00,0.58,4256,1205
32,66265e1697a8f9f101012cd5,calced,1178677,DAWN,n,PNI,POOLED,9125281,TANKER CHEMICAL,CLEAN TANKER,6253,1995,MARSHALL ISLANDS,TURKEY,0,2.5,1000,Fees EXcluded,CA_voyage,"7,500",II_event,"7,500","7,500","7,500",0,CO_1_4THS,0,0,0,2429,1293,1252,27,913,549,191,486,245,145,7530,45,7575,2014,2525,1563,2490,0.00,3340,7393,9919,0.00,1.59,5851,2511
33,66265e1697a8f9f101012cd5,calced,1178680,ABU DHABIIII,n,PNI,POOLED,9489027,TANKER PRODUCT,CLEAN TANKER,57748,2011,LIBERIA,UNITED ARAB EMIRATES,-0.2,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"7,500",II_event,"6,500","6,500","6,500","7,500",CO_1_4THS,7500,7500,7500,441,752,737,12,424,488,174,303,95,32,3458,44,3502,931,1167,1423,22995,0.00,3041,27459,28626,0.00,0.50,4194,1153
34,66265e1697a8f9f101012cd5,calced,1178681,DIYYINAHI,n,PNI,POOLED,9487251,TANKER PRODUCT,CLEAN TANKER,42538,2011,LIBERIA,UNITED ARAB EMIRATES,-0.2,2.5,1000,Fees IN (10% 500 5k),CA_voyage,"7,500",II_event,"6,500","6,500","6,500","7,500",CO_1_4THS,7500,7500,7500,465,725,706,11,408,477,168,293,101,28,3382,42,3424,910,1141,1420,16939,0.00,3035,21394,22535,0.00,0.53,4163,1128
